Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link,Used In Blog,Used Slug,Used Title,Used Date,Category
25693676132,CIVAGO（26oz）Ceramic liner Stainless Steel Coffee Mug With Lid Vacuum Flask Tumbler Painting Series,489,10K+,CIVAGO,22.5%,₱110.03,https://shopee.ph/product/1049915107/25693676132,https://s.shopee.ph/6VHjJLocYD,,,,,Other
26072981623,Lovito Women Casual Jeans Plain Pocket Jean L118ED181,399,4K+,LOVITO OFFICIAL STORE,15.5%,₱61.85,https://shopee.ph/product/426377685/26072981623,https://s.shopee.ph/60LSiQqWZ8,,,,,Fashion
29207265541,IMUTO Colorful Carpet Living Room Carpet Bedroom/Livingroom Rug Soft＆Comfortable Antislip Floor Mat,139,10K+,IMUTO,14.5%,₱20.16,https://shopee.ph/product/727679291/29207265541,https://s.shopee.ph/6AesujptEB,,,,,Beauty
25806185221,"MILKY GLUTA WHITE X20 EXTREME WHITENING SOAP [GLUTATHIONE, NIACINAMIDE, COLLAGEN, VIT.C, HYALURONIC]",168,10K+,KEISHA WHITE PH,13.5%,₱22.68,https://shopee.ph/product/637509225/25806185221,https://s.shopee.ph/5ficJornF6,,,,,Beauty
27037938165,【ROSIE】Korean Fashion Slippers for Women Thick-Sole Outdoor Slippers Beach Anti-Slip Flip Flops#WT395,36,1K+,-ROSIE-,13.5%,₱4.86,https://shopee.ph/product/813266782/27037938165,https://s.shopee.ph/5q22W7r9u9,,,,,Beauty
24414249785,ISLAND ELEPHANT Luggage Travel Bag 7kg Trolley,1.2K,10K+,ISLAND ELEPHANT,12.5%,₱144.88,https://shopee.ph/product/734478333/24414249785,https://s.shopee.ph/5L5lvCt3v4,,,,,Bags
24775090776,Omron MC-343F Digital Pencil-type Thermometer with Flexible Tip for Baby and Body Temperature,394,5K+,Omron Philippines,12.5%,₱49.25,https://shopee.ph/product/71802176/24775090776,https://s.shopee.ph/5VPC7VsQa7,,,,,Baby
10913936808,"⭐️AZ⭐️ Kitchen dishes, storage, drainage baskets, drying appliances, Dish drainer, Plate organizer",117,10K+,AIZXY SHOP ( AZY ),12.5%,₱14.63,https://shopee.ph/product/22666700/10913936808,https://s.shopee.ph/7fTghUkBBY,,,,,Kitchen
24732181393,GOOJODOQ Fan 4000 mAh Turbo Mini Fan Rechargeable Handheld Portable Strong Wind Electric Jet Hand,425,10K+,GOOJODOQ Mall,12.5%,₱53.13,https://shopee.ph/product/1111187671/24732181393,https://s.shopee.ph/7pn6tnjXqb,yes,goojodoq-turbo-mini-fan-commuter-ph,GOOJODOQ Turbo Mini Fan for PH Commuters: A Practical Buying Guide,2026-01-19,Cooling
23245910626,MINI Sweeping Machine Mopping Smart Automatic Cleaning Robot Sweeping Robot for Home Use Ultra-thin,198,10K+,lKEA Store,11.51%,₱22.79,https://shopee.ph/product/225047497/23245910626,https://s.shopee.ph/7KqqIslRrW,,,,,Home Essentials
25072875979,Bluetooth Speaker with mic Wireless Bluetooth Dual Microphone Karaoke Speaker 3D 203(Christmas Gift),185,10K+,Glorious life,11.5%,₱21.28,https://shopee.ph/product/463034342/25072875979,https://s.shopee.ph/7VAGVBkoWZ,,,,,Tech
25832650969,Glass oil Pot Leak-Proof Seasoning Oil Bottle Soy Sauce Vinegar Sesame Oil Dispenser,49,10K+,BETA.PH,12.5%,₱6.13,https://shopee.ph/product/1200762675/25832650969,https://s.shopee.ph/70DzuGmiXU,,,,,Kitchen
22015873182,Orashare OH10 Power Bank With Built in Dual Cable Slim and Portable Fast Charging 10000mAh Capacity,446,10K+,Orashare Official Store,12.5%,₱55.75,https://shopee.ph/product/264015657/22015873182,https://s.shopee.ph/7AXQ6Zm5CX,,,,,Tech
20983955594,【COD】SK Fashion trend casual shoes student rubber shoes for men Low Cut,135,10K+,Shoe King Store,11.5%,₱15.53,https://shopee.ph/product/727690310/20983955594,https://s.shopee.ph/6fb9VenzDS,,,,,Fashion
29755702736,House Of Littlebunny Thai Brand Female Bag Saddle Bag 2024 Spring Hot-selling One-Shoulder Diagonal Bag,1.3K,5K+,LUCKYLITTLEBUNNY618.ph,10.5%,₱139.55,https://shopee.ph/product/827172545/29755702736,https://s.shopee.ph/6puZhxnLsV,,,,,Bags
25291220121,Glass oil Pot Leak-Proof Seasoning Bottle Oil Bottle Soy Sauce Vinegar Sesame Oil Cooking Dispenser,24,10K+,Sunion0218,12.5%,₱3.00,https://shopee.ph/product/1470298063/25291220121,https://s.shopee.ph/8zz4Hwf6Tw,,,,,Kitchen
18476031804,KANAZAWA Tower Fan Electric With Remote Control 120° Stereo Shake Head Silent With LED Display,1.6K,10K+,KANAZAWA,10.5%,₱173.15,https://shopee.ph/product/788559159/18476031804,https://s.shopee.ph/9AIUUFeT8z,,,,,Cooling
28128109678,Converse Run Star Trainer Unisex Sneakers - Egret/Black/Honey,4.3K,3K+,Converse Official Store,11.5%,₱493.93,https://shopee.ph/product/202094433/28128109678,https://s.shopee.ph/8fMDtKgN9u,,,,,Fashion
42313743876,Minitutu PPSU High capacity Feeding Bottle And Straw cup Temperature scale Leak-proof and drop-proof,68,1K+,Minitutu Store,10.5%,₱7.14,https://shopee.ph/product/1040228731/42313743876,https://s.shopee.ph/8pfe5dfjox,,,,,Baby
23652940122,tomtoc T03 Navigator Passport Holder with RFID Blocking Travel Wallet Portable Bag Passport Beg,2.3K,387,tomtoc ,10.5%,₱239.30,https://shopee.ph/product/288879375/23652940122,https://s.shopee.ph/8KjNUihdps,,,,,Bags
